item_name,category,description,price,dietary_type,ingredients,customizations
Crunchy Taco,Tacos,"A crunchy corn taco shell filled with seasoned beef, lettuce, and cheese.",$1.79,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese","Make it Supreme +$0.90, Add Sour Cream +$0.60, Add Jalapeños +$0.60"
Soft Taco,Tacos,"A warm flour tortilla filled with seasoned beef, lettuce, and cheese.",$1.79,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla","Make it Supreme +$0.90, Add Sour Cream +$0.60, Substitute Chicken +$0.80"
Crunchy Taco Supreme,Tacos,"A crunchy taco filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$2.69,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese","Add Guacamole +$1.00, Substitute Black Beans +$0.00"
Soft Taco Supreme,Tacos,"A warm flour tortilla filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$2.69,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla","Add Guacamole +$1.00, Substitute Steak +$1.00"
Nacho Cheese Doritos® Locos Tacos,Tacos,"A crunchy taco shell made from Nacho Cheese Doritos® filled with seasoned beef, lettuce, and cheese.",$2.59,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese, Doritos Shell","Make it Supreme +$0.90, Add Sour Cream +$0.60"
Nacho Cheese Doritos® Locos Tacos Supreme,Tacos,"A Nacho Cheese Doritos® shell filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$3.49,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese, Doritos Shell","Add Jalapeños +$0.60, Add Guacamole +$1.00"
Cheesy Gordita Crunch,Tacos,"A crunchy taco shell inside a flatbread with melted three-cheese blend, seasoned beef, spicy ranch, lettuce, and cheese.",$4.99,Non-Veg,"Seasoned Beef, Spicy Ranch Sauce, Iceberg Lettuce, Cheddar Cheese, Three-Cheese Blend, Flatbread, Taco Shell","Add Tomatoes +$0.60, Substitute Chicken +$0.80"
Double Decker Taco,Tacos,"A crunchy taco shell wrapped in a soft flour tortilla with refried beans, filled with seasoned beef, lettuce, and cheese.",$2.99,Non-Veg,"Seasoned Beef, Refried Beans, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla, Taco Shell","Make it Supreme +$0.90, Add Jalapeños +$0.60"
Bean Burrito,Burritos,"A warm flour tortilla filled with refried beans, cheddar cheese, red sauce, and diced onions.",$1.79,Veg,"Refried Beans, Cheddar Cheese, Red Sauce, Onions, Flour Tortilla","Add Sour Cream +$0.60, Add Jalapeños +$0.60, Make it Supreme +$0.90"
Beefy 5-Layer Burrito,Burritos,"Two flour tortillas with a layer of nacho cheese, filled with seasoned beef, refried beans, sour cream, and cheese.",$3.69,Non-Veg,"Seasoned Beef, Refried Beans, Nacho Cheese Sauce, Reduced-Fat Sour Cream, Cheddar Cheese, Flour Tortilla","Add Rice +$0.60, Add Jalapeños +$0.60"
Burrito Supreme®,Burritos,"A warm flour tortilla filled with seasoned beef, refried beans, red sauce, lettuce, cheese, onions, tomatoes, and sour cream.",$4.99,Non-Veg,"Seasoned Beef, Refried Beans, Red Sauce, Iceberg Lettuce, Cheddar Cheese, Onions, Tomatoes, Reduced-Fat Sour Cream, Flour Tortilla","Substitute Chicken +$0.80, Add Guacamole +$1.00"
